Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
Executive Order 13527,,Executive Order,,Executive Order,Executive Order 13527,https://www.govinfo.gov/content/pkg/FR-2010-01-06/pdf/2010-38.pdf,2010-38.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/k-_CTWqI-rtxDb127paY6A/EqqZ0X_X31gt53xV38jvs1Rll6lrMh6rD34g1r1AROB3MJmoGVp7_QvaGK3FQTjmuO360wzYCqCDEDbDi6tOK5ReP_Yrma2BlDqbibuJn_haZt2yX-Xkm5CIQ6IF8loBz8n3V44nHBanIDweaRObRxNJVgkE0GFrdPlRgq_S8nY/1O1ZI0caCQ6s8GVrTMOi1ez_2PEKWnoF0MpLLCIpS98),12/30/09,12/30/09,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,N/A,,,,,,,,,,,,,
",Domestic,Yes - Subject to Posse Comitatus,Include,,,Scenario 1",Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,"Scenario 3d""",No,No,,Not applicable,"This EO was created to bolster the US defense to biological attack. The order established requirements to plan and prepare for provision of medical countermeasures (MCMs) to the American citizens in the event of a biological attack. The order requires interagency coordination, cooperation through levels of governance and planning for continuity of operations. Finally, the document mandates the development of a federal rapid response mechanism to dispense MCMs following a deliberate biological event.  ",,"Strategies and General Preparedness Efforts,Military Readiness",,,,,,,,,,,,,
31 U.S.C. § 1111; 503; 41 U.S.C. § 405,"COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS",FEMA DOLR,4,Regulation,"""COST PRINCIPLES FOR STATE, LOCAL, AND INDIAN TRIBAL GOVERNMENTS""",https://www.govinfo.gov/content/pkg/CFR-2012-title2-vol1/pdf/CFR-2012-title2-vol1-part225.pdf,CFR-2012-title2-vol1-part225.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/28rQAVOQZw336Mmtr3Lcdg/aD0k6fiTtvvYxh5Le3dx7kiy590-vReixgeGYiyXgRgGcT1lZjV54143qYPWdkyqYZR5PSXwk83_WJcg3dmPdwMWKX-cmooUQ5UKADQVApttUsXe5a2A0qs0XhC8jw02dVmhi1rpk1aHN57IYUrsSOtzhJpCrTyDi6mXtQHFq6Xwr-IvHkFuFY-Odj95iJUY/j0e4QfOBgYrZbPsqLhw5_5rHQvN4ScK1ynXk3wiD1gI),,1/1/12,"Department of the Interior,Department of Health and Human Services,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"This policy outlines principles regarding budget allocation for state, local, and tribal governments. They ensure effective use of government funding.",,Appropriations - Emergency Response
29 U.S.C. § 794,Rehabilitation Act of 1973,FEMA DOLR,4,Legislation,Rehabilitation Act of 1973,https://www.govinfo.gov/content/pkg/COMPS-799/pdf/COMPS-799.pdf,COMPS-799.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/hSGKizjR2xg-9kpwwEKolg/oEx4cqEqNVXXkltDqrQJqRxSaiPErTzCl6omZI8PIzfAkRCY10QfBjB8bZmaR1HnyehIMXSPdA9sqxmN-5lZveC6D1gcOKXXhBdDANjMwY7vMKKvybHsC9ZLAAy5F0h_wrr1UJXPdihbfA8R64fQjXXmwpYhDcckuRTMJoQphwE/NaKwg1pviikxXONj5ZPBRdLYVW_EkFX9Z3wwQJChR4I),,9/26/73,"Department of Education,Equal Employment Opportunity Commission,Department of Labor,Department of Health and Human Services,Department of Justice",No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,This act is designed to prohibit discrimination in federal programs based on an individual's disability. It ensures fair practices in offering financial assistance and federal employment to enhance equal access to opportunities for individuals with disabilities. It involves all departments of the federal government.,,
Executive Order 13910,,Executive Order,,Executive Order,Executive Order 13910,https://irp.fas.org/offdocs/eo/eo-13910.pdf,eo-13910.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/EopquFAg8Y7svI7BNIs6NA/6ZUfOpF1WSZyzGG9tMV7ymEhfm5Mu-WrS8bm71g9ZSGtQbO33dtqE1Pv0IvojP7-f4tf-NJh8rgzXE9b2tcipFBPupQfd-QI8GN5mLLAHE83CEI0P4vYWt7FWRencoInGmduGgwSV3DhY1S3mt6O1NWJVT5hCMrzhA5c1RKDmFE/sQXZGVi1teSnkiPz_vvkGSWJaB6u-F0t_EkkqQ2X4sM),,3/23/20,"Department of Health and Human Services,Department of Justice",Health Emergency,COVID-19 pandemic,Domestic,No,Include,,,,,,,No,This EO makes hoarding and price gouging medical resources needed to respond to COVID-19 illegal.,,Regulations on Interstate or Foreign Commerce
42 U.S.C. 201 et seq.,Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),National Disaster Medical System [NDMS] and National Medical Surge,,Legislation,Pandemic and All-Hazards Preparedness and Advancing Innovation Act (PAHPAIA),https://www.congress.gov/bill/116th-congress/senate-bill/1379/text,PLAW-116publ22.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/WSAc1q2pP7yzzuvCBDGAeA/buX4L47LssGTeBY1n4SpAxWUFJWjhjmDUh9Utpcn8lA5YT5qnf5EQbH0LYVo0emcKXNK_S28cj_xgmxi7f6Dkv4OFkydCPGGowpSP7uJitmIVZP-KIe17pw9Xx6bHLrMws_Hpa46icMNroJ_9WAudYocJfyjolpWwPoeIdMvKQY/96Kz8d5Drge6T5X7GvRyAaMswlM8n3Hh8yX7Ht37meo),6/24/19,6/24/19,"Department of Health and Human Services - Centers for Disease Control and Prevention,Administration for Strategic Preparedness and Response,Department of Health and Human Services","Health Emergency,No triggering event - Capacity Building",Capacity Building for health security,,,,,,,,,,,,,
"Any health event/emergency that threatens national security of the US""",Domestic,Yes,Include,,,,,,,No,"This law broadly addresses the national security threat of disease outbreaks through an array of powers aimed toward enhancing pandemic preparedness and response during health emergencies. This law specifically includes provisions on the movement of military healthcare workers operating in trauma centers, and the development and distribution of medical countermeasures. ",(Sec. 204) This section establishes a grant program for eligible trauma centers to train and support military trauma care providers at such centers.,,,,,,,,,,,,,
"(Sec. 701) This section extends through FY2023 specified programs including the Department of Veterans Affairs emergency preparedness program and the tracking and distribution of vaccines during an influenza pandemic.""","Movement of Medical Personnel,Provision of Medical Care,Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Health and Safety Regulations,Strategies and General Preparedness Efforts",,,,,,,,,,,,,,,,,,,,,,,,
42 C.F.R.§ 489.24,Examination and treatment for emergency medical conditional and women in labor (EMTALA),General Health Law,,Regulation,42 C.F.R. § 489.24 - Special Responsibilities of Medicare Hospitals ,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-G/part-489/subpart-B/section-489.24#,42 CFR 489.24 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ILJj76Nz7-UwxDctb1ki3A/8eOhIzXdwGszgsgu5lv2Ff7m736q-J-YNM2Ce9SmanLw3_eVw7qBUg6peh8M7zWHxvoiW0pdmOnkST5wKeuyg2CB-6p9oi9zZDR4rouNpFhIFMjFIUeDkYK-QhPL9s_xI0DZENFwqYOIroNMz61HYHu4EFngNa8vTC017gAFeFb3LRIe0L7jSIbUgO8AfRK2/FN_7nxhYIqi3G2CKYdxuVsuRiITrB5IvzdgAeQ8Qjjo),1/1/23,4/4/80,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,Domestic,No,Include,Tied to Medicare funding generally; all hospitals receiving Medicare funding must be compliant.,* 489.24(a)(2) - limits waiver under Section 1135 to 72 hours,,,,,,,,
",Scenario 2",Scenario 3a,Scenario 3b,Scenario 3c,"Scenario 3d""",Yes,Yes,,Not applicable,Special responsibilities of Medicare hospitals in emergency cases,,"Provision of Medical Care,Waiver,Health and Safety Regulations",,,,,,,,,,,,,,
42 C.F.R. § 512.294,Examination and treatment for emergency medical conditional and women in labor (EMTALA),General Health Law,,Regulation,42 C.F.R. 512.294 - Extreme and Uncontrollable Circumstances ,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-H/part-512/subpart-B/subject-group-ECFR5cc0672500dbd43/section-512.294,42 CFR 489.24 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/jYzT3RpJdOY1I54qyA0Ovg/nqseCKBsHPCSNhbpTfnzoM-plYLJZE7BlkNlWMsIwuM2gfGfp58q_2Nz3CJ7GCxXZg9ixveVbKg9KX3MCyI_9jzRVN7ZYTmlBIVM0xdw1WpMlZHpt4doXAsh44paZhGPGKS7RZKam_z7PRl_Qof3gfE7se6A_e44VBPxXU8De1JR4mY7qMcm-J4efmOMN2P6/tmw-NsVLbgFu7oqGLMLX3XSt8cSS-C-gzITEMcIhrGs),1/1/22,9/29/20,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,Domestic,No,Include,Tied to Medicare funding generally; all hospitals receiving Medicare funding must be compliant. ,"* § 512.294(a) - sets out waiver authority for Radiologist/Oncology providers in ""extreme and uncontrollable circumstances"" ",,,,,,,,
"* § 512.294(b) - sets out conditions for """"extreme and uncontrollable circumstances""""",,,,,,,,,,,,,,,,,,,,,,,,,
",Scenario 2",Scenario 3a,Scenario 3b,Scenario 3c,"Scenario 3d""",Yes,Yes,,Not applicable,Extreme and uncontrollable circumstances,,"Waiver,Provision of Medical Care,Health and Safety Regulations",,,,,,,,,,,,,,
52 C.F.R. § 510.305,Examination and treatment for emergency medical conditional and women in labor (EMTALA),General Health Law,,Regulation,52 C.F.R. § 510.305 - Determination of the NPRA and reconciliation,https://www.ecfr.gov/current/title-42/chapter-IV/subchapter-H/part-510/subpart-D/section-510.305,42 CFR 510.305 (up to date as of 7-22-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/LdUngdv0w0DmduFGFP6lxA/aZBKoyJU51ycKm1nM6GuRYuQtFDzq4JedJPiuMDyRVCsbBaYvnr__BHqaJEQurPbkO_Fl3Tm-PElwg_LXwrn2WNZXtXXKL79mmgUllXi92_vxANSetEdelZDu0JwViDOggBeBl0LZo4y9lP_65duBqmJWKJYBpqaR-Gopy4mITta-oR8e788InQazDXHzSOJ/E7P_YG_U2nG5-3GcOIYe4R-bbRQ6fjDp82bjK7IXFmQ),7/2/21,11/24/15,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Requires BOTH a Stafford Act declaration or Emergency Act declaration AND a PHSA Declaration,Domestic,No,Include,Tied to Medicare funding generally; all hospitals receiving Medicare funding must be compliant. ,"* § 510.305(k) - adjusts net payment reconciliation amount in ""extreme and uncontrollable circumstances""","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,Yes,,Not applicable,Determination of the NPRA and reconciliation process,,"Waiver,Health and Safety Regulations"
42 U.S.C. § 1315 ,Social Security Act,General Health Law,,Legislation,Section 1115 - Demonstration Projects,https://www.govinfo.gov/content/pkg/USCODE-2010-title42/pdf/USCODE-2010-title42-chap7-subchapXI-partA-sec1315.pdf,Section 1115.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/brdo5VKdgZA2VJttUSfBGQ/6c2I4x124LQNACVQcg68Q_i-OvSZtkBMpFuiSxBVFycVXKaHtKPUxvEOOf0EXE7AuaVe2SfHHduGoA0Q-cnMP9NjPrinZIeAnqTVZe4yFxooQCPp-m5N0SxLqST9Rlbde7h7s0YeonK4ruH0VoA7J_JisnqCpMJsSrpnLoBB1Ak/EdRt3E_NVmnuQggYl19qh6A9CfZY2__ZydsR_YxwJI0),9/29/14,7/25/62,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services",No triggering event - Capacity Building,No emergency event needed; power is discretionary and may be used to further program goals in any scenario,Domestic,No,Include,,,Scenario 1,,,,Not applicable,"In case of any experimental, pilot, or demonstration project which is likely to assist in promoting the objectives of Medicare/Medicaid/CHIP, the Secretary may waive compliance with certain requirements of the Social Security Act. ",,Waiver
42 U.S.C. §1320b–5,Social Security Act,General Health Law,,Legislation,Section 1135 - Authority to Waive Requirements During National Emergencies ,https://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/SurveyCertEmergPrep/Downloads/1135-Waivers-Authority.pdf,1135 Waiver Authority_PHE_SSA.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/Qk4vFdGyCPOkWcHfLXaEXA/4Qqcfeewj8trnbLPUhiBr0dvJuy1fqNJD_EBxyeeUwKiFs9dZpk9TWCcQiq510wHCQxdmeGdm6oEBuG8UutI9FmBGa2oo2xp1Fr1UMuu77sVH-gSqh9csWBV3iGLX4vNECCcHBJI1qdr-PRvtpqSrSG9AIEMBatsCabUfddaaUlcaQpfJYtpLMXroo9J7bix/Lpfe7krbstJHNDWNjUO65ZPU6Rg2gPekJiqWdsSndFg),3/11/21,8/14/35,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency or disaster declared by the President pursuant to the National Emergencies Act or the Robert T. Stafford Relief and Emergency Assistance Act"" and ""a public health emergency declared by the Secretary pursuant to section 319 of the [PHSA].""",Both,Unclear,Include,,,Scenario 2,,,,Not applicable,"The Secretary of Health can waive provisions of the Medicare Act, HIPPA, and EMTALA ""in any emergency area and during an emergency period.""",,Waiver
6 U.S.C. §§ 101-1405,Homeland Security Act,FEMA DOLR,2,Legislation,Homeland Security Act,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/umIw1sX3yjLH3RdXq58OFA/E_9zDQuurXfNC-_JCsm0qH6n2pRqq_P12MyvqSCxVpyE6PBaMrqwsenDWQ0EdaF8e1F3IAaY14SOs0GFrFAQrA0RdHTuOqARGjhUC8-XIroVqy88lTYVPE5c-1J-RB2csxdCfBRKAuA3GlauG-7ktcLqV6Lq2T4j5oQVl8O95Jg/2qFBwnj9Rl3JF8yiOClNHgUviCbsYwHvSrgcscS18V0),,11/25/02,Department of Homeland Security,"Terrorism,Health Emergency","""With respect to civilian human health-related research and development activities relating to countermeasures for chemical, biological, radiological, and nuclear and",,,,,,,,,,,,,
other emerging terrorist threats carried out by the Department of,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Human Services (including the Public Health Service),,,,,,,,,,,,,,,,,,,,,,,,,
the Secretary of Health and Human Services shall set priorities,,,,,,,,,,,,,,,,,,,,,,,,,
goals, objectives, and policies and develop a coordinated strategy,,,,,,,,,,,,,,,,,,,,,,,
for such activities in collaboration with the Secretary of Homeland,,,,,,,,,,,,,,,,,,,,,,,,,
"Security to ensure consistency with the national policy and strategic plan developed pursuant to section 302(2)""""""",Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,"The Homeland Security Act consolidated various federal agencies into the Department of Homeland Security to protect the United States against terrorist attacks and other threats. Triggering events include threats or acts of terrorism (such as 9/11), natural disasters, and other emergencies. The act empowers DHS, amongst other agencies, to coordinate national security efforts, manage emergency response, and enhance border security. ",,"Strategies and General Preparedness Efforts,Military Readiness",,,,,,,,,,,,
6 U.S.C. §§ 101-1405,The Homeland Security Act,FEMA DOLR,5,Legislation,Homeland Security Act,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/umIw1sX3yjLH3RdXq58OFA/E_9zDQuurXfNC-_JCsm0qH6n2pRqq_P12MyvqSCxVpyE6PBaMrqwsenDWQ0EdaF8e1F3IAaY14SOs0GFrFAQrA0RdHTuOqARGjhUC8-XIroVqy88lTYVPE5c-1J-RB2csxdCfBRKAuA3GlauG-7ktcLqV6Lq2T4j5oQVl8O95Jg/2qFBwnj9Rl3JF8yiOClNHgUviCbsYwHvSrgcscS18V0),,11/25/02,Department of Homeland Security,No triggering event - Capacity Building,N/A,Domestic,Unclear,Include,,,,,,,No,This act established DHS as an executive department with the primary mission of preventing terrorist attacks and minimizing associated damage.,,"Strategies and General Preparedness Efforts,Military Readiness"
44 C.F.R. §§ 208.13–208.66,Stafford Act,Parallel Table U.S.C.,,Regulation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Department of Homeland Security,"Presidential Emergency Declarations,Presidential Major Disaster Declaration","Triggered by ""Emergencies and Major Disasters that are beyond the capabilities of affected State and Local Governments.""",Domestic,Yes - Subject to Posse Comitatus,Include,"Reimbursement for participation by Affiliated Personnel, Activated System Members, and Participating Agencies",* 44 C.F.R. § 208.12 - Maximum Pay Rate Table,,,,,,,,
44 C.F.R. §§ 208.21–208.27: Preparedness Cooperative Agreements (inc. allowable costs and accountability for use of funds),,,,,,,,,,,,,,,,,,,,,,,,,
44 C.F.R. §§ 208.31–208.46: Response Cooperative Agreements (with other agencies, including supply, personnel and fringe benefit costs),,,,,,,,,,,,,,,,,,,,,,,
"* 44 C.F.R. §§ 208.51–208.66: Reimbursement Claims and Appeals""","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,National Urban Search & Rescue Response System,,Mission Assignment/Response Coordination,,,,,,,,,,,,,,,,,
Executive Order 13228,,Executive Order,,Executive Order,Executive Order 13228,https://www.govinfo.gov/content/pkg/WCPD-2001-10-15/pdf/WCPD-2001-10-15-Pg1434.pdf,WCPD-2001-10-15-Pg1434.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/TWZVDO_06_noB_OGlJ93cg/KgfBFQIurlehFIIP5G9aaOb9dtg3bFqUhFVrt8lx77kolgsb5nOik9Sq4DxYdJvRgs0meCxZz591RrMc_bzs9HJ1LJYj8ZAxpJEGiWI_Ns_p3HyvOTByFoXUX92TVXtAR3huAAYnR-VYwl_etVON54cd7fqwiTIpjckVI4xdVEI5jxat-1ZSmlOPwCoSW0qU/Ekq4Ks2DHcxAXGaCsewzhtZOYDqjsWvan4GyLDz9fno),10/8/01,10/8/01,Department of Homeland Security,No triggering event - Capacity Building,N/A,,,,,,,,,,,,,
",Domestic,Yes - Subject to Posse Comitatus,Include,,,Scenario 1",Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,"Scenario 3d""",No,No,,Not applicable,"This EO creates the Office of Homeland Security (OHS) and the Homeland Security Council (HSC) to enhance national security coordination. The order states that the function of OHS will be to coordinate executive branch efforts to holistically prepare for and respond to terrorist threats and facilitate cooperation with other agencies and subnational jurisdictions. Additionally, this order states that, in the event of terrorist attacks, the Director of OHS will be the primary coordinator for domestic response efforts.  ",,"Strategies and General Preparedness Efforts,Military Readiness",,,,,,,,,,,,,
